# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T10000-s2-route1 profile=P1 ticks=10000 seed=2 route=1
# argv=--profile P1 --ticks 10000 --seed 2 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,283758,281489,307327,200654,280392,23688
2,101,283758,281592,309598,200654,280608,23688
3,102,283962,282207,312239,200654,282091,23692
5,104,285368,282918,312239,200654,282971,23696
7,106,286504,283514,313664,200654,284004,23700
10,109,286504,283454,313664,200654,284004,23704
20,119,288220,293014,333182,215511,288304,23704
30,129,293916,298538,333182,235545,291602,23704
50,149,303892,309410,336210,251933,304812,23704
70,169,313896,319073,341884,271899,313600,23708
100,199,329837,333764,359116,281436,329301,23712
200,299,380038,386120,425846,332467,380020,23716
300,399,443054,448891,487405,376758,439820,23772
500,599,562036,569016,608861,494674,560720,23776
700,799,700556,709656,754142,646619,701123,23780
1000,1099,1014578,1019295,1087909,913561,1011486,23780
2000,2099,2316609,2320685,2422402,2147940,2313172,23780
3000,3099,4204846,4239931,4392738,3987092,4185426,23780
5000,5099,9483998,9552175,9893133,9252646,9457942,23784
7000,7099,15557806,15585510,15955916,14937839,15519360,23788
9901,10000,25924035,25781689,26583336,23774519,25842305,23788
# summary ticks_done=10000 ticks_requested=10000 total_wall_s=106.107 peak_rss_kb=23788
