# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T100000-s2-route1 profile=P1 ticks=100000 seed=2 route=1
# argv=--profile P1 --ticks 100000 --seed 2 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 4500
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 39317: wall budget 4500s exceeded (elapsed 4500.2s)
1,100,465435,460937,502130,344296,462870,65944
2,101,465435,461059,503147,344296,462870,65988
3,102,465435,461449,503147,344296,462870,66000
5,104,465920,462410,507237,344296,463462,66012
7,106,465920,462705,507237,344296,463462,66024
10,109,462421,457440,507237,281500,460128,66036
20,119,461160,444865,504359,276056,457016,66048
30,129,459963,432161,503147,276056,456652,66060
50,149,452092,410207,503147,276056,451414,66072
70,169,339784,384523,502402,276056,341208,66084
100,199,331520,340926,366509,276056,331738,66096
200,299,376724,401249,563046,326595,377646,66108
300,399,432750,435614,470588,382940,432922,66120
500,599,561621,567974,613062,507065,561736,66132
700,799,710388,723350,777662,641881,706281,66144
1000,1099,1030300,1029006,1089679,934474,1026333,66156
2000,2099,2389393,2399481,2512312,2234383,2380820,66168
3000,3099,5013839,5061727,5217281,4814183,4996895,66180
5000,5099,19850924,19879057,20160176,19656688,19785105,66192
7000,7099,17567755,17829343,18180977,16463287,17507198,66204
10000,10099,29333529,29433550,30317416,28067582,29254801,66204
20000,20099,82595672,82816111,84449837,79394946,82343852,66220
30000,30099,161108874,169997675,198543478,152240649,160384571,66232
39218,39317,230682416,252592751,341138028,221821858,229880358,-1
# summary ticks_done=39317 ticks_requested=100000 total_wall_s=4500.157 peak_rss_kb=66256
