# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T1000-s2-route2 profile=P2 ticks=1000 seed=2 route=2
# argv=--profile P2 --ticks 1000 --seed 2 --route 2 --out bench/results
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route2 columns: tick,meta_bits_total,meta_bits_max,meta_n,latent_bits_total,latent_n,marginal_bits(num+den)
# mirror population=445
0,7139,17,445,180,36,0
1,9053,24,445,378,36,3
2,11151,39,445,888,36,36
3,13178,43,445,1399,36,46
5,17465,81,445,2281,36,85
7,22011,107,445,3228,36,104
10,29323,170,445,4535,36,171
20,55406,337,445,9284,36,325
30,82162,516,445,14021,36,494
50,135936,851,445,23310,36,817
70,189805,1194,445,32787,36,1138
100,270760,1705,445,46669,36,1631
101,273439,1714,445,47149,36,1638
102,276148,1737,445,47636,36,1661
104,281522,1765,445,48534,36,1694
106,286948,1807,445,49455,36,1727
109,294988,1839,445,50786,36,1763
119,322031,2017,445,55527,36,1929
129,349009,2187,445,60203,36,2095
149,403017,2530,445,69678,36,2426
169,457008,2875,445,79216,36,2761
199,538006,3384,445,93267,36,3239
200,540703,3401,445,93610,36,3256
299,807946,5084,445,139962,36,4879
300,810695,5107,445,140449,36,4894
399,1077899,6778,445,186645,36,6501
500,1350594,8505,445,233765,36,8151
599,1617796,10177,445,280069,36,9742
700,1890523,11913,445,327806,36,11401
799,2157755,13589,445,373885,36,13016
901,2433096,15321,445,421784,36,14659
1000,2700400,17014,445,468131,36,16260
# summary ticks_done=1000 ticks_requested=1000 pins_checked=1000 total_wall_s=355.625
