# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T1000-s3-route1 profile=P2 ticks=1000 seed=3 route=1
# argv=--profile P2 --ticks 1000 --seed 3 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,83469620,84467159,100951090,57294009,83152311,18064
2,101,83725812,84694066,100951090,57294009,83423342,18064
3,102,84054862,85092330,100951090,57294009,83718943,18064
5,104,84505910,85832374,100951090,63999339,84126613,18064
7,106,84661481,86244866,102198100,63999339,84329999,18064
10,109,86883692,87272324,102198100,65257788,86492710,18064
20,119,90428480,90769414,105236254,67917970,90103078,18064
30,129,94186940,94192160,107822696,71029124,93908311,18064
50,149,100606868,101520490,114646107,80095754,100161958,18064
70,169,105102879,106332756,120821870,86523213,104724776,18064
100,199,116278316,116964967,135154073,95464718,115838690,18064
200,299,162021822,162304154,183798902,135245512,161519064,18064
300,399,218576532,235259468,282413116,187523658,217927409,18064
500,599,378525130,389157758,439085689,332038341,377047924,18064
700,799,531227450,531640689,562281951,480242190,529642666,18064
901,1000,722599240,721837543,763969815,658529248,720358040,18064
# summary ticks_done=1000 ticks_requested=1000 total_wall_s=363.369 peak_rss_kb=18064
