# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T10000-s1-route1 profile=P2 ticks=10000 seed=1 route=1
# argv=--profile P2 --ticks 10000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 7200
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 3437: wall budget 7200s exceeded (elapsed 7202.7s)
1,100,78055897,77085189,90689326,47484294,77825416,41528
2,101,78055897,77202744,90776172,47484294,77825416,41532
3,102,78297624,77641224,90845527,48056883,78026442,41532
5,104,78948839,78566603,91332284,51671816,78733941,41544
7,106,79840406,79404895,91904509,55749388,79560164,41544
10,109,80669438,80639534,92762283,61830142,80368264,41544
20,119,83853626,84025296,97866614,65878001,83564760,41544
30,129,86920985,87301547,100896137,71048379,86667527,41544
50,149,92969922,94397928,108734930,76892532,92702038,41556
70,169,100944054,102197380,116746822,83258808,100582073,41556
100,199,113833990,113752326,129646105,91332284,113396956,41556
200,299,158248234,157930427,178079522,133403722,157807268,41560
300,399,382274133,329244298,421637961,180991706,381022250,41564
500,599,353831306,354090000,384041412,310298172,352750214,41576
700,799,526351203,527555760,568184217,472794953,523716878,41576
1000,1099,824244945,822779318,867754181,764130450,821352068,41580
2000,2099,2263507058,2267154165,2431637212,2082318596,2256385084,41580
3000,3099,4197311944,4237760112,4389816986,3973884344,4183289962,41580
3338,3437,4798233648,4808128732,4910347475,4644253210,4783441342,-1
# summary ticks_done=3437 ticks_requested=10000 total_wall_s=7202.707 peak_rss_kb=41580
