# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T10000-s1-route2 profile=P2 ticks=10000 seed=1 route=2
# argv=--profile P2 --ticks 10000 --seed 1 --route 2 --out bench/results --budget-s 4500
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route2 columns: tick,meta_bits_total,meta_bits_max,meta_n,latent_bits_total,latent_n,marginal_bits(num+den)
# mirror population=445
0,7139,17,445,180,36,0
1,9053,24,445,378,36,3
2,11114,38,445,817,36,42
3,13203,47,445,1375,36,49
5,17416,77,445,2257,36,85
7,21888,111,445,3253,36,113
10,29125,170,445,4522,36,171
20,55615,345,445,9403,36,336
30,82107,516,445,14074,36,498
50,135792,853,445,23505,36,819
70,189723,1196,445,33097,36,1137
100,270703,1705,445,46957,36,1620
101,273365,1715,445,47496,36,1629
102,276104,1742,445,47988,36,1652
104,281489,1773,445,48955,36,1686
106,286904,1812,445,49894,36,1719
109,294933,1844,445,51190,36,1751
119,321959,2019,445,55918,36,1915
129,348918,2182,445,60597,36,2073
149,402942,2527,445,69844,36,2401
169,456945,2874,445,79192,36,2733
199,537931,3385,445,93461,36,3221
200,540666,3410,445,93853,36,3245
299,807867,5078,445,140227,36,4834
300,810621,5111,445,140751,36,4867
399,1077821,6778,445,186810,36,6451
500,1350567,8518,445,234614,36,8117
599,1617788,10189,445,280820,36,9735
700,1890498,11921,445,328709,36,11406
799,2157737,13597,445,374851,36,12986
1000,2700387,17028,445,469369,36,16257
1099,2967621,18706,445,515723,36,17878
2000,5400054,34057,445,938130,36,32559
2099,5667240,35729,445,984329,36,34157
# TRUNCATED at tick 2561: wall budget 4500s exceeded (elapsed 4501.0s)
# summary ticks_done=2561 ticks_requested=10000 pins_checked=2561 total_wall_s=4501.047
