# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2nw-T1000-s1-route1 profile=P2nw ticks=1000 seed=1 route=1
# argv=--profile P2nw --ticks 1000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 441, "namespace_bits": 1.5849625007211563}
# models=441
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,19384982,18711422,21565652,10576328,19320084,17024
2,101,19384982,18736347,21627415,10576328,19320084,17024
3,102,19416963,18775435,21717390,10576328,19352334,17024
5,104,19468833,19002219,22249222,10825380,19403468,17024
7,106,19840202,19222425,22474479,12007232,19766753,17024
10,109,20052028,19516700,22511922,13223364,19977510,17024
20,119,20375253,20349472,23019378,15894401,20314091,17024
30,129,20984093,21137371,23776619,17204465,20908761,17024
50,149,22230952,22516830,25509641,19028542,22146950,17024
70,169,23805162,23862121,27109138,19913596,23701930,17024
100,199,26136130,26232002,29448251,21791400,26038636,17024
200,299,35287058,35590622,39337223,29913188,35145878,17024
300,399,46908374,46831133,51814023,39415112,46714529,17024
500,599,76071732,76203283,82613954,66396082,75903676,17024
700,799,113272531,114677446,123849846,103102868,112846960,17024
901,1000,160917635,161056970,171006481,147566474,160464060,17024
# summary ticks_done=1000 ticks_requested=1000 total_wall_s=77.524 peak_rss_kb=17024
