# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2nw-T1000-s1-route2 profile=P2nw ticks=1000 seed=1 route=2
# argv=--profile P2nw --ticks 1000 --seed 1 --route 2 --out bench/results
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 441, "namespace_bits": 1.5849625007211563}
# models=441
# route2 columns: tick,meta_bits_total,meta_bits_max,meta_n,latent_bits_total,latent_n,marginal_bits(num+den)
# mirror population=441
0,7119,17,441,0,0,0
1,9029,24,441,0,0,3
2,10995,32,441,0,0,25
3,13051,40,441,0,0,23
5,17160,53,441,0,0,40
7,21528,67,441,0,0,49
10,28571,88,441,0,0,75
20,54480,163,441,0,0,140
30,80401,234,441,0,0,200
50,132968,374,441,0,0,322
70,185777,513,441,0,0,440
100,265075,725,441,0,0,624
101,267714,733,441,0,0,623
102,270360,740,441,0,0,638
104,275636,755,441,0,0,652
106,280928,769,441,0,0,663
109,288862,790,441,0,0,674
119,315306,859,441,0,0,732
129,341732,931,441,0,0,797
149,394614,1071,441,0,0,919
169,447483,1213,441,0,0,1049
199,526785,1425,441,0,0,1239
200,529434,1431,441,0,0,1253
299,791152,2133,441,0,0,1860
300,793792,2140,441,0,0,1875
399,1055508,2840,441,0,0,2471
500,1322513,3566,441,0,0,3123
599,1584233,4282,441,0,0,3753
700,1851227,5012,441,0,0,4414
799,2112954,5706,441,0,0,5002
901,2382590,6425,441,0,0,5628
1000,2644302,7137,441,0,0,6260
# summary ticks_done=1000 ticks_requested=1000 pins_checked=1000 total_wall_s=82.961
