# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4089744 mtime=2026-09-01 05:15:03.633399362 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=e3c69b5e1646f1b7759d2e7cc11926d8f1e6bbe92f859435282f855f2f8707c5 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2real-T300-s1-route1 profile=P2real ticks=300 seed=1 route=1
# argv=--profile P2real --ticks 300 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 2400
# hello={"membrane": 1, "world": {"namespace": ["t", "n-candidates=0", "n-candidates=1", "n-candidates=2plus", "leader-credence=lt50", "leader-credence=50to70", "leader-credence=70to80", "leader-credence=80to90", "leader-credence=ge90", "p-none=lt20", "p-none=20to50", "p-none=ge50", "n-obs=0", "n-obs=1to2", "n-obs=3plus", "era-split=1", "owner-scoped=1", "grow-pass=1", "act"], "guards": [{"name": "n-candidates=0", "grid": [0.5]}, {"name": "n-candidates=1", "grid": [0.5]}, {"name": "n-candidates=2plus", "grid": [0.5]}, {"name": "leader-credence=lt50", "grid": [0.5]}, {"name": "leader-credence=50to70", "grid": [0.5]}, {"name": "leader-credence=70to80", "grid": [0.5]}, {"name": "leader-credence=80to90", "grid": [0.5]}, {"name": "leader-credence=ge90", "grid": [0.5]}, {"name": "p-none=lt20", "grid": [0.5]}, {"name": "p-none=20to50", "grid": [0.5]}, {"name": "p-none=ge50", "grid": [0.5]}, {"name": "n-obs=0", "grid": [0.5]}, {"name": "n-obs=1to2", "grid": [0.5]}, {"name": "n-obs=3plus", "grid": [0.5]}, {"name": "era-split=1", "grid": [0.5]}, {"name": "owner-scoped=1", "grid": [0.5]}, {"name": "grow-pass=1", "grid": [0.5]}], "menu": [{"name": "act", "grid": [1, 2, 3, 4]}], "codebooks": {"theta": [2.0e-2, 5.0e-2, 0.18, 0.339, 0.857, 0.864, 0.95, 0.9977777777777779]}, "clock": [{"name": "think", "price": 11, "batch": 1}], "utility": {"form": "said@1", "said": ["if", ["=", ["get", "act"], ["c", 1.0]], ["+", ["c", 0.0], ["*", ["var", 1], ["c", 0.0]]], ["if", ["=", ["get", "act"], ["c", 2.0]], ["+", ["c", -0.02], ["*", ["var", 1], ["c", 1.0]]], ["if", ["=", ["get", "act"], ["c", 3.0]], ["+", ["c", -0.1], ["*", ["var", 1], ["c", 1.0]]], ["+", ["c", -9.0], ["*", ["var", 1], ["c", 10.0]]]]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 960, "namespace_bits": 4.247927513443586}
# models=960
# models-assert=OK predicted=960
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,765102683,898654078,1758536414,140018264,760214504,57952
2,101,782401712,916945089,1777419791,151625588,777129828,58000
3,102,798654506,933345099,1791626599,161071238,793946155,58012
5,104,827376998,967997591,1902657972,164283302,821413529,58024
7,106,904655572,1003794218,1914315535,175919609,897965276,58036
10,109,998070600,1070556651,1948225233,201652527,991223175,58048
20,119,1242675964,1303448579,2423562699,296687798,1233218146,58060
30,129,1476769590,1557842688,2685886154,396728079,1466453870,58072
50,149,1958672276,2233895733,3862586243,761570856,1943139302,58084
70,169,2689795684,2999345662,4692762477,1218134063,2673825299,58096
100,199,4264058900,4611320514,7069616893,1791626599,4222125326,58108
200,299,14953910739,15102261888,20769083593,7116915571,13438786160,58120
201,300,14979536978,15219838560,20769083593,7116915571,13486205903,58120
# summary ticks_done=300 ticks_requested=300 total_wall_s=2078.117 peak_rss_kb=58124
