# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P3-T1000-s3-route1 profile=P3 ticks=1000 seed=3 route=1
# argv=--profile P3 --ticks 1000 --seed 3 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 2700
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "obs_arity": 6, "codebooks": {"theta": [0.1, 0.3, 0.5, 0.7, 0.9], "rho": [0.3]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 130, "namespace_bits": 1.0}
# models=130
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 407: wall budget 2700s exceeded (elapsed 2705.1s)
1,100,804100101,1194709318,3666058720,114607354,801056526,26176
2,101,814082378,1228556314,3666058720,114607354,811099834,26176
3,102,822094449,1266021349,3680301798,119737797,819325224,26176
5,104,904106244,1358109756,3770804092,131639448,900444413,26176
7,106,934462745,1432050707,3834206475,152852011,931198175,26176
10,109,1038392168,1543334931,3888871844,191103951,1033140724,26176
20,119,1177433771,1874474723,4027221415,316323002,1173458853,26176
30,129,1475492016,2111434102,4027221415,442564576,1470447136,26176
50,149,2900752875,2676334754,4053182632,789298529,2857061051,26176
70,169,3581003149,3294211020,4260438374,1186213550,3348862778,26176
100,199,3942872309,4123269915,5461958207,2457342585,3900798296,26176
200,299,7678221078,7730268193,9513913723,5568207153,7652804458,26176
300,399,12640157188,12766594639,15070746729,10103774652,12601390217,26176
308,407,13198544981,13220580362,15561700488,10390631552,13145330330,-1
# summary ticks_done=407 ticks_requested=1000 total_wall_s=2705.125 peak_rss_kb=26176
