# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=S0-T100000-s1-route1 profile=S0 ticks=100000 seed=1 route=1
# argv=--profile S0 --ticks 100000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=PureServe
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,5957,6792,8413,5408,6400,28932
2,101,5957,6738,8413,5408,6400,28936
3,102,5957,6734,8287,5408,6400,28940
5,104,5957,6744,8287,5408,6400,28944
7,106,5957,6785,8413,5408,6400,28948
10,109,5960,6802,8413,5408,6412,28952
20,119,5968,6760,8287,5408,6414,28956
30,129,5978,6771,8287,4365,6421,28960
50,149,5814,6343,8286,3805,6270,28964
70,169,5681,5902,7789,3671,6146,28968
100,199,4094,5135,7407,3502,4524,28972
200,299,3625,3716,3971,3387,4004,33200
300,399,3600,4179,3954,3315,3993,33200
500,599,3492,3736,3765,3209,3872,33200
700,799,3486,3704,3711,3236,3865,33200
1000,1099,3488,3643,3718,3242,3854,33200
2000,2099,3399,3445,3579,3135,3770,33204
3000,3099,3676,4096,4106,3301,4043,33204
5000,5099,7464,7774,8223,5758,8208,33204
7000,7099,3716,3847,4229,3424,4099,33204
10000,10099,3764,4052,4188,3479,4150,33204
20000,20099,3870,4134,4301,3449,4264,33332
30000,30099,3952,4093,4185,3746,4374,33332
50000,50099,4095,4191,4358,3845,4526,33332
70000,70099,4000,4169,4276,3751,4446,33332
99901,100000,4064,4181,4307,3755,4504,34148
# summary ticks_done=100000 ticks_requested=100000 total_wall_s=1.268 peak_rss_kb=34148
