# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=S1-T10000-s1-route1 profile=S1 ticks=10000 seed=1 route=1
# argv=--profile S1 --ticks 10000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=MenuOnly
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,267073,289565,367375,247070,264552,13332
2,101,266990,288290,367115,247070,264552,13332
3,102,266946,287552,367115,247070,264438,14060
5,104,266912,285577,366238,247070,264340,14064
7,106,266062,283123,359416,247070,264230,14068
10,109,266062,280359,296020,247070,264230,14068
20,119,264882,263248,279029,144344,263946,14068
30,129,263200,252138,278819,144344,263286,14068
50,149,260896,224801,276232,141094,262120,14072
70,169,164238,202024,270223,141094,165213,14076
100,199,156616,169428,259071,141094,154034,14080
200,299,165682,170940,201965,143300,164500,14084
300,399,161204,163037,181202,145020,159162,14088
500,599,151149,158074,169174,144939,151264,14092
700,799,155273,159076,173867,147537,154615,14096
1000,1099,155816,158400,166417,151244,155976,14100
2000,2099,165812,167451,176734,156856,164156,14768
3000,3099,170553,175433,188710,162224,168285,14768
5000,5099,165616,168819,177956,162650,166215,14768
7000,7099,161476,164717,174950,157060,162026,14768
9901,10000,145728,147549,152152,142532,146367,14768
# summary ticks_done=10000 ticks_requested=10000 total_wall_s=1.876 peak_rss_kb=14768
