==============================================================================
CELL INVENTORY
==============================================================================
P1-T100-s1-route1            models=9     done=100     wall_s=       0.0 peak_rss_kb=12400 pins=
P1-T100-s1-route2            models=9     done=100     wall_s=       0.0 peak_rss_kb= pins=100
P1-T100-s2-route1            models=9     done=100     wall_s=       0.0 peak_rss_kb=12388 pins=
P1-T100-s2-route2            models=9     done=100     wall_s=       0.0 peak_rss_kb= pins=100
P1-T100-s3-route1            models=9     done=100     wall_s=       0.0 peak_rss_kb=12396 pins=
P1-T100-s3-route2            models=9     done=100     wall_s=       0.0 peak_rss_kb= pins=100
P1-T1000-s1-route1           models=9     done=1000    wall_s=       0.5 peak_rss_kb=13580 pins=
P1-T1000-s1-route2           models=9     done=1000    wall_s=       0.6 peak_rss_kb= pins=1000
P1-T1000-s2-route1           models=9     done=1000    wall_s=       0.5 peak_rss_kb=13220 pins=
P1-T1000-s2-route2           models=9     done=1000    wall_s=       0.6 peak_rss_kb= pins=1000
P1-T1000-s3-route1           models=9     done=1000    wall_s=       0.5 peak_rss_kb=13384 pins=
P1-T1000-s3-route2           models=9     done=1000    wall_s=       0.6 peak_rss_kb= pins=1000
P1-T10000-s1-route1          models=9     done=10000   wall_s=     105.7 peak_rss_kb=22568 pins=
P1-T10000-s1-route2          models=9     done=10000   wall_s=     127.5 peak_rss_kb= pins=10000
P1-T10000-s2-route1          models=9     done=10000   wall_s=     106.1 peak_rss_kb=23788 pins=
P1-T10000-s2-route2          models=9     done=10000   wall_s=     127.6 peak_rss_kb= pins=10000
P1-T10000-s3-route1          models=9     done=10000   wall_s=     106.2 peak_rss_kb=22464 pins=
P1-T10000-s3-route2          models=9     done=10000   wall_s=     127.7 peak_rss_kb= pins=10000
P1-T100000-s1-route1         models=9     done=39532   wall_s=    4500.2 peak_rss_kb=66504 pins=  TRUNCATED at 39532 (wall budget 4500s exceeded (elapsed 4500.1s))
P1-T100000-s1-route2         models=9     done=33392   wall_s=    2700.2 peak_rss_kb= pins=33392  TRUNCATED at 33392 (wall budget 2700s exceeded (elapsed 2700.2s))
P1-T100000-s2-route1         models=9     done=39317   wall_s=    4500.2 peak_rss_kb=66256 pins=  TRUNCATED at 39317 (wall budget 4500s exceeded (elapsed 4500.2s))
P1-T100000-s3-route1         models=9     done=39614   wall_s=    4500.2 peak_rss_kb=66512 pins=  TRUNCATED at 39614 (wall budget 4500s exceeded (elapsed 4500.2s))
P2-T100-s1-route1            models=445   done=100     wall_s=       5.5 peak_rss_kb=13768 pins=
P2-T100-s1-route2            models=445   done=100     wall_s=       6.1 peak_rss_kb= pins=100
P2-T100-s2-route1            models=445   done=100     wall_s=       5.4 peak_rss_kb=13764 pins=
P2-T100-s2-route2            models=445   done=100     wall_s=       6.1 peak_rss_kb= pins=100
P2-T100-s3-route1            models=445   done=100     wall_s=       5.5 peak_rss_kb=13856 pins=
P2-T100-s3-route2            models=445   done=100     wall_s=       6.2 peak_rss_kb= pins=100
P2-T1000-s1-route1           models=445   done=1000    wall_s=     362.3 peak_rss_kb=17908 pins=
P2-T1000-s1-route2           models=445   done=1000    wall_s=     356.8 peak_rss_kb= pins=1000
P2-T1000-s2-route1           models=445   done=1000    wall_s=     365.2 peak_rss_kb=17976 pins=
P2-T1000-s2-route2           models=445   done=1000    wall_s=     355.6 peak_rss_kb= pins=1000
P2-T1000-s3-route1           models=445   done=1000    wall_s=     363.4 peak_rss_kb=18064 pins=
P2-T1000-s3-route2           models=445   done=1000    wall_s=     357.1 peak_rss_kb= pins=1000
P2-T10000-s1-route1          models=445   done=3437    wall_s=    7202.7 peak_rss_kb=41580 pins=  TRUNCATED at 3437 (wall budget 7200s exceeded (elapsed 7202.7s))
P2-T10000-s1-route2          models=445   done=2561    wall_s=    4501.0 peak_rss_kb= pins=2561  TRUNCATED at 2561 (wall budget 4500s exceeded (elapsed 4501.0s))
P2-T10000-s2-route1          models=445   done=3433    wall_s=    7202.4 peak_rss_kb=41352 pins=  TRUNCATED at 3433 (wall budget 7200s exceeded (elapsed 7202.4s))
P2-T10000-s3-route1          models=445   done=3432    wall_s=    7203.4 peak_rss_kb=41468 pins=  TRUNCATED at 3432 (wall budget 7200s exceeded (elapsed 7203.4s))
P2nw-T100-s1-route1          models=441   done=100     wall_s=       1.6 peak_rss_kb=13808 pins=
P2nw-T1000-s1-route1         models=441   done=1000    wall_s=      77.5 peak_rss_kb=17024 pins=
P2nw-T1000-s1-route2         models=441   done=1000    wall_s=      83.0 peak_rss_kb= pins=1000
P3-T100-s1-route1            models=130   done=100     wall_s=      75.1 peak_rss_kb=14868 pins=
P3-T100-s1-route2            models=130   done=100     wall_s=      85.6 peak_rss_kb= pins=100
P3-T100-s2-route1            models=130   done=100     wall_s=      74.8 peak_rss_kb=14808 pins=
P3-T100-s2-route2            models=130   done=100     wall_s=      85.9 peak_rss_kb= pins=100
P3-T100-s3-route1            models=130   done=100     wall_s=      75.1 peak_rss_kb=14940 pins=
P3-T100-s3-route2            models=130   done=100     wall_s=      85.6 peak_rss_kb= pins=100
P3-T1000-s1-route1           models=130   done=598     wall_s=    7211.9 peak_rss_kb=28596 pins=  TRUNCATED at 598 (wall budget 7200s exceeded (elapsed 7211.9s))
P3-T1000-s1-route2           models=130   done=397     wall_s=    2703.8 peak_rss_kb= pins=397  TRUNCATED at 397 (wall budget 2700s exceeded (elapsed 2703.8s))
P3-T1000-s2-route1           models=130   done=407     wall_s=    2704.4 peak_rss_kb=27228 pins=  TRUNCATED at 407 (wall budget 2700s exceeded (elapsed 2704.4s))
P3-T1000-s3-route1           models=130   done=407     wall_s=    2705.1 peak_rss_kb=26176 pins=  TRUNCATED at 407 (wall budget 2700s exceeded (elapsed 2705.1s))
P3wide-T100-s1-route2        models=420   done=100     wall_s=     593.8 peak_rss_kb= pins=100
S0-T10000-s1-route1          models=9     done=10000   wall_s=       0.1 peak_rss_kb=15156 pins=
S0-T100000-s1-route1         models=9     done=100000  wall_s=       1.3 peak_rss_kb=34148 pins=
S1-T10000-s1-route1          models=9     done=10000   wall_s=       1.9 peak_rss_kb=14768 pins=
S1-T100000-s1-route1         models=9     done=100000  wall_s=      15.4 peak_rss_kb=34128 pins=

==============================================================================
PROFILE P1
==============================================================================
-- P1-T100-s1-route1 (models=9, done=100, peak_rss_kb=12400)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2492     0.2517     0.2760          0.2468   12400
-- P1-T100-s2-route1 (models=9, done=100, peak_rss_kb=12388)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2618     0.2614     0.2914          0.2612   12388
-- P1-T100-s3-route1 (models=9, done=100, peak_rss_kb=12396)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2548     0.2589     0.2810          0.2556   12396
-- P1-T1000-s1-route1 (models=9, done=1000, peak_rss_kb=13580)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2593     0.2593     0.2876          0.2585   13212
        2      101      0.2593     0.2593     0.2876          0.2585   13212
        3      102      0.2593     0.2597     0.2876          0.2585   13212
        5      104      0.2593     0.2597     0.2870          0.2585   13212
        7      106      0.2593     0.2597     0.2880          0.2585   13212
       10      109      0.2593     0.2598     0.2873          0.2585   13216
       20      119      0.2636     0.2697     0.2959          0.2621   13220
       30      129      0.2675     0.2745     0.2995          0.2668   13224
       50      149      0.2814     0.2917     0.3261          0.2821   13228
       70      169      0.2929     0.3035     0.3404          0.2920   13232
      100      199      0.3125     0.3211     0.3570          0.3132   13236
      200      299      0.3658     0.3696     0.4103          0.3640   13240
      300      399      0.3989     0.4011     0.4240          0.3986   13244
      500      599      0.4874     0.4871     0.5068          0.4861   13580
      700      799      0.5976     0.5968     0.6202          0.5955   13580
      901     1000      0.7473     0.7512     0.7833          0.7456   13580
-- P1-T1000-s2-route1 (models=9, done=1000, peak_rss_kb=13220)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2635     0.2650     0.2988          0.2623   13148
        2      101      0.2635     0.2649     0.2988          0.2623   13148
        3      102      0.2635     0.2655     0.2997          0.2623   13148
        5      104      0.2636     0.2659     0.2997          0.2633   13180
        7      106      0.2636     0.2662     0.2997          0.2633   13180
       10      109      0.2636     0.2671     0.2997          0.2633   13184
       20      119      0.2677     0.2847     0.3900          0.2667   13188
       30      129      0.2757     0.2900     0.3453          0.2748   13192
       50      149      0.2928     0.3102     0.4147          0.2933   13196
       70      169      0.3027     0.3193     0.4147          0.3015   13200
      100      199      0.3176     0.3342     0.4147          0.3182   13204
      200      299      0.3571     0.3612     0.3891          0.3610   13208
      300      399      0.3989     0.4027     0.4225          0.3988   13212
      500      599      0.4937     0.4943     0.5238          0.4924   13216
      700      799      0.6205     0.6226     0.6467          0.6179   13216
      901     1000      0.7501     0.7574     0.8075          0.7486   13216
-- P1-T1000-s3-route1 (models=9, done=1000, peak_rss_kb=13384)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2624     0.2653     0.2974          0.2624   13132
        2      101      0.2624     0.2653     0.2974          0.2624   13132
        3      102      0.2624     0.2657     0.2987          0.2624   13132
        5      104      0.2624     0.2658     0.2987          0.2624   13132
        7      106      0.2627     0.2666     0.2993          0.2625   13132
       10      109      0.2627     0.2664     0.2974          0.2625   13136
       20      119      0.2677     0.2723     0.2994          0.2676   13140
       30      129      0.2728     0.2820     0.3104          0.2726   13144
       50      149      0.2823     0.2978     0.3332          0.2837   13148
       70      169      0.2987     0.3097     0.3379          0.2992   13152
      100      199      0.3139     0.3253     0.3548          0.3147   13156
      200      299      0.3316     0.3334     0.3553          0.3319   13160
      300      399      0.3886     0.4283     0.6172          0.3889   13364
      500      599      0.4825     0.4937     0.5240          0.4821   13368
      700      799      0.6232     0.6280     0.6637          0.6175   13368
      901     1000      0.8047     0.8323     0.9180          0.8024   13368
-- P1-T10000-s1-route1 (models=9, done=10000, peak_rss_kb=22568)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2778     0.2776     0.3019          0.2770   22520
        2      101      0.2778     0.2775     0.3002          0.2770   22520
        3      102      0.2783     0.2783     0.3020          0.2770   22524
        5      104      0.2797     0.2787     0.3054          0.2777   22528
        7      106      0.2808     0.2793     0.3110          0.2784   22532
       10      109      0.2808     0.2791     0.3110          0.2784   22536
       20      119      0.2829     0.2864     0.3181          0.2833   22536
       30      129      0.2895     0.2919     0.3220          0.2876   22536
       50      149      0.2974     0.3032     0.3358          0.2999   22540
       70      169      0.3121     0.3152     0.3480          0.3130   22544
      100      199      0.3349     0.3342     0.3661          0.3321   22548
      200      299      0.3901     0.3954     0.4323          0.3869   22552
      300      399      0.4376     0.4526     0.4866          0.4378   22556
      500      599      0.5591     0.5615     0.5996          0.5602   22560
      700      799      0.7080     0.7123     0.7493          0.7070   22560
     1000     1099      1.0005     1.0152     1.0790          0.9977   22560
     2000     2099      2.3153     2.3197     2.4268          2.3076   22560
     3000     3099      4.1802     4.2416     4.4299          4.1695   22560
     5000     5099      9.4338     9.5255     9.7866          9.4030   22564
     7000     7099     15.5046    15.4866    15.8982         15.4642   22568
     9901    10000     25.6170    25.6859    26.4108         25.5427   22568
-- P1-T10000-s2-route1 (models=9, done=10000, peak_rss_kb=23788)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2838     0.2815     0.3073          0.2804   23688
        2      101      0.2838     0.2816     0.3096          0.2806   23688
        3      102      0.2840     0.2822     0.3122          0.2821   23692
        5      104      0.2854     0.2829     0.3122          0.2830   23696
        7      106      0.2865     0.2835     0.3137          0.2840   23700
       10      109      0.2865     0.2835     0.3137          0.2840   23704
       20      119      0.2882     0.2930     0.3332          0.2883   23704
       30      129      0.2939     0.2985     0.3332          0.2916   23704
       50      149      0.3039     0.3094     0.3362          0.3048   23704
       70      169      0.3139     0.3191     0.3419          0.3136   23708
      100      199      0.3298     0.3338     0.3591          0.3293   23712
      200      299      0.3800     0.3861     0.4258          0.3800   23716
      300      399      0.4431     0.4489     0.4874          0.4398   23772
      500      599      0.5620     0.5690     0.6089          0.5607   23776
      700      799      0.7006     0.7097     0.7541          0.7011   23780
     1000     1099      1.0146     1.0193     1.0879          1.0115   23780
     2000     2099      2.3166     2.3207     2.4224          2.3132   23780
     3000     3099      4.2048     4.2399     4.3927          4.1854   23780
     5000     5099      9.4840     9.5522     9.8931          9.4579   23784
     7000     7099     15.5578    15.5855    15.9559         15.5194   23788
     9901    10000     25.9240    25.7817    26.5833         25.8423   23788
-- P1-T10000-s3-route1 (models=9, done=10000, peak_rss_kb=22464)
