profile  tick  unnormalised_meta_bits  normalised_meta_bits  ratio
P1        100                   2017                 1815  0.90
P1        300                   5967                 5491  0.92
P1       1000                  19796                18184  0.92
P1       3000                  59304                55347  0.93
P2         30                  82107               209479  2.55
P2        100                 270703               697722  2.58
P2        300                 810621              2101627  2.59
P3         10                 126221               424165  3.36
P3         30                 375274              1272819  3.39
P3        100                1246414              4241622  3.40
