# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T10000-s1-route1 profile=P1 ticks=10000 seed=1 route=1
# argv=--profile P1 --ticks 10000 --seed 1 --route 1 --out bench/results/solo --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,263742,265008,292022,191542,263312,22676
2,101,263742,265114,292022,191542,263312,22676
3,102,263742,265327,292022,191542,263312,22680
5,104,263814,265669,292022,191542,263768,22684
7,106,263814,265904,292022,191542,263768,22688
10,109,263814,262142,290040,191542,263768,22692
20,119,268580,276063,312514,200292,266120,22692
30,129,273775,281893,315475,225837,274558,22692
50,149,284024,291859,327074,240223,283380,22696
70,169,294912,300698,337212,254910,295526,22700
100,199,310030,315735,350005,274874,309974,22704
200,299,359332,364019,395949,323054,360484,22708
300,399,404448,409512,436647,368494,405372,22712
500,599,533634,534980,578283,479464,531672,22716
700,799,657216,656734,697820,580966,656812,22716
1000,1099,915230,920470,985701,806867,914953,22716
2000,2099,2161708,2162419,2258136,1994727,2158984,22716
3000,3099,3687308,3717889,3845690,3468563,3675585,22720
5000,5099,7849872,7857462,7974605,7621504,7826799,22720
7000,7099,12871352,12886370,13040756,12450561,12844574,22720
9901,10000,21425724,21550895,21867395,20666550,21376970,22720
# summary ticks_done=10000 ticks_requested=10000 total_wall_s=88.336 peak_rss_kb=22720
