# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=S0-T100000-s1-route1 profile=S0 ticks=100000 seed=1 route=1
# argv=--profile S0 --ticks 100000 --seed 1 --route 1 --out bench/results/solo --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=PureServe
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,6100,7150,7409,5508,6542,30536
2,101,6100,7060,7409,5508,6542,30540
3,102,6100,7049,7409,5508,6542,30544
5,104,6100,7062,7889,5508,6542,30548
7,106,6100,7080,7964,5508,6542,30552
10,109,6100,7096,7964,5508,6542,30556
20,119,6083,7096,7964,5508,6530,30560
30,129,6093,7291,8215,5508,6553,30564
50,149,5894,6844,7964,3722,6360,30568
70,169,5818,6005,7889,3656,6292,30572
100,199,4649,5753,8215,3656,5009,30576
200,299,3782,6634,4150,3403,4150,30580
300,399,3731,3782,3924,3482,4094,30580
500,599,3535,3713,3781,3307,3882,33840
700,799,3512,3684,4032,3284,3868,33840
1000,1099,3538,3947,3770,3311,3896,33840
2000,2099,3509,3536,3681,3299,3876,33844
3000,3099,3798,4244,5484,3473,4170,33844
5000,5099,3516,3821,3751,3326,3888,33844
7000,7099,3630,4375,3826,3406,3990,33844
10000,10099,3572,3598,3758,3363,3934,33844
20000,20099,3490,3587,3701,3240,3859,34140
30000,30099,3558,3675,3920,3343,3919,34140
50000,50099,3568,3858,4619,3267,3925,34236
70000,70099,5305,4869,5725,3350,5843,34236
99901,100000,3565,4150,4750,3138,3924,34236
# summary ticks_done=100000 ticks_requested=100000 total_wall_s=1.106 peak_rss_kb=34236
