# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=S1-T100000-s2-route1 profile=S1 ticks=100000 seed=2 route=1
# argv=--profile S1 --ticks 100000 --seed 2 --route 1 --out bench/results/solo --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=MenuOnly
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,143110,158000,200989,138457,143468,28336
2,101,143110,156970,200356,138457,143468,28336
3,102,143110,156283,200316,138457,143468,28340
5,104,143110,155255,198992,138457,143468,28344
7,106,143039,154233,197235,138457,143438,28344
10,109,142756,152026,161494,138457,143309,28344
20,119,141822,146656,152709,138457,142346,28348
30,129,142094,146813,152827,138457,142466,28352
50,149,141334,143730,149194,137826,141658,28356
70,169,141209,143695,150247,137826,141624,32896
100,199,141117,143555,153735,131197,141449,32900
200,299,134922,137277,145110,130612,134721,32904
300,399,129871,131071,136485,126166,130082,32908
500,599,125918,127307,132506,123176,126449,32912
700,799,129424,131509,139540,123134,129928,32916
1000,1099,128472,129908,133394,126423,128698,32920
2000,2099,132564,133589,138279,130209,133014,32924
3000,3099,132845,134530,140377,130158,133278,32924
5000,5099,133191,137338,144955,127232,133625,32924
7000,7099,133498,136802,142215,130271,134046,32924
10000,10099,133649,135437,143120,130147,133933,33144
20000,20099,132034,132589,137274,123616,132722,33144
30000,30099,134522,138819,146508,130017,135151,33144
50000,50099,133830,136264,144708,128573,134478,33144
70000,70099,133333,135946,145497,130226,134093,33144
99901,100000,132728,134699,141782,130133,133521,33144
# summary ticks_done=100000 ticks_requested=100000 total_wall_s=15.357 peak_rss_kb=33144
